Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Z3/v-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,51.78950768528762,51.064084280580474,53.12597163874333,1.6030700889824212,0.7997654869351234,2.1822865004729897
Z3/v-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,66.46537356044456,65.62726671447584,67.07016158736357,1.2847307656963252,1.061475203644407,1.554970335663377
Z3/v-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,12.12562271631738,11.943586572503095,12.36043592764738,0.3544790695695719,0.2504460856591196,0.5215937618706916
Z3/v-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,11.656010266055159,11.543044461405874,11.898788124634445,0.26194333944720416,9.830065386205439e-2,0.4773246417706526
Z3/p-->v/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,69.8134971651931,69.22034891186618,70.31975846835643,0.8781591736556051,0.5933415290363426,1.2241279346350344
Z3/p-->v/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,91.96991363039837,91.01092618787334,93.29915323576643,1.8864812068894907,1.4679498083464546,2.439590656327545
Z3/p-->v/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10.91316088960115,10.812531825671984,11.026478896999166,0.18510688033845776,0.13980276878257408,0.2521728819285743
Z3/p-->v/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,10.95486137516861,10.756924186860832,11.29916201714111,0.4260930148226789,0.1420020814626014,0.555688787605402
Z3/p-->p/V1/Chc/0/numPlain/479622/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,70.77132940870345,69.31836889009097,72.313686313195,2.4467207461280807,1.8206605590156912,3.560268229208462
Z3/p-->p/V2/Chc/0/numPlain/687613/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,97.43426076933913,94.65636377376468,100.47398051699057,4.909543664214654,3.1111097282093763,7.3221444539548
Z3/p-->p/V3/Chc/0/numPlain/77192/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,12.697481866009763,12.209078416797857,13.509975704446429,1.089664458403967,0.6522551840085934,1.7186937655528105
Z3/p-->p/V4/Chc/0/numPlain/70791/Compression/0.0/VCore_Total/1/VCorePlain/1/VCoreVar/0/Variants/1,11.677264175496784,11.439291907418333,12.047974366768571,0.46217217680905404,0.34238357457603363,0.579885220774933
Z3/v-->p/V1/Chc/1147/numPlain/29852/Compression/0.9480416006067428/VCore_Total/4964/VCorePlain/3817/VCoreVar/1147/Variants/2,53.582186242076354,52.703766769165235,55.00048377347191,1.831557379912174,0.955233618566247,2.853525831055879
Z3/v-->p/V2/Chc/2103/numPlain/28896/Compression/0.9641607996709252/VCore_Total/5631/VCorePlain/3528/VCoreVar/2103/Variants/2,71.0856309049029,69.91140935065319,72.34011850876857,2.0716360877143587,1.5085774038361057,2.8546611245226474
Z3/v-->p/V3/Chc/765/numPlain/30234/Compression/0.7335247760052448/VCore_Total/6028/VCorePlain/5263/VCoreVar/765/Variants/2,9.366982458515634,9.182007746180556,9.673135155266745,0.3918532808185488,0.18747246276863425,0.5740783709921811
Z3/v-->p/V4/Chc/197/numPlain/30802/Compression/0.7135937782600832/VCore_Total/6133/VCorePlain/5936/VCoreVar/197/Variants/2,8.905624929346507,8.784207072404286,9.123554110272222,0.28420985574100366,0.1898342760180611,0.3989413753217057
