Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB,DataSet,Algorithm,Config,ChcCount,PlainCount,CompressionRatio,VCoreSize,VCorePlain,VCoreVar,Variants,Core
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4/Core/1,0.7799734565418627,0.7585134191256202,0.7942567298335537,0.021694097313295302,0.00958661683337897,0.030314752567543242,Z3,v-->v,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4,1
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/3081/Compression/0.22435286784508815/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8/Core/1,1.7790887417706926,1.7644866476878178,1.8020631121239603,0.024134886368614644,0.002324739685489151,0.03047620226686112,Z3,v-->v,V1*V2*V3,1400,3081,0.22435286784508815,2326,951,1375,8,1
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/3011/Compression/0.11778550160073432/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16/Core/1,3.924204668166491,3.869081751749718,3.9534709379995547,0.05210973391161825,0.002273082166236007,0.06496282586404892,Z3,v-->v,V1*V2*V3*V4,1478,3011,0.11778550160073432,2374,929,1445,16,1
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2695/Compression/6.495518204814074e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32/Core/1,10.280933982852957,10.166864053248446,10.408295210561164,0.13233757836637894,0.06693354932011093,0.18585379155368079,Z3,v-->v,V1*V2*V3*V4*V5,2159,2695,0.06495518204814074,2382,621,1761,32,1
Z3/v-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2152/Compression/3.38131445426035e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64/Core/1,26.161720548187457,26.080096076374957,26.243345019999957,0.09778057426883575,0.05913481037487145,0.12022064571681022,Z3,v-->v,V1*V2*V3*V4*V5*V6,2827,2152,0.0338131445426035,2814,510,2304,64,1
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7/Chc/3248/numPlain/1881/Compression/1.7402113646176727e-2/VCore_Total/2929/VCorePlain/354/VCoreVar/2575/Variants/128/Core/1,56.88060331147926,55.69565934266575,57.34172563093807,0.8155065561585881,0.10966229883095846,1.0649163810755524,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7,3248,1881,0.017402113646176727,2929,354,2575,128,1
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8/Chc/3633/numPlain/1562/Compression/8.931392725462844e-3/VCore_Total/3186/VCorePlain/292/VCoreVar/2894/Variants/256/Core/1,117.05670109424985,115.8707201194984,117.65637844925034,1.1764822145360825,0.019352950187584428,1.3848955293458334,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8,3633,1562,0.008931392725462844,3186,292,2894,256,1
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9/Chc/3752/numPlain/1498/Compression/4.533901687595635e-3/VCore_Total/3213/VCorePlain/255/VCoreVar/2958/Variants/512/Core/1,247.03422102666536,243.96543334199941,249.147732697249,3.0521881159716555,1.4926348310837056,3.929661698579215,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9,3752,1498,0.004533901687595635,3213,255,2958,512,1
Z3/v-->v/V1*V2*V3*V4*V5*V6*V7*V8*V9*V10/Chc/3809/numPlain/1441/Compression/2.2627576375406533e-3/VCore_Total/3250/VCorePlain/235/VCoreVar/3015/Variants/1024/Core/1,461.07932541039736,455.3812887075028,465.0046526757924,5.587060513944976,1.8537757414578664,7.6498039718849915,Z3,v-->v,V1*V2*V3*V4*V5*V6*V7*V8*V9*V10,3809,1441,0.0022627576375406533,3250,235,3015,1024,1
Z3/v-->v/V1*V2/Chc/1322/numPlain/3143/Compression/0.43001393608958216/VCore_Total/2309/VCorePlain/996/VCoreVar/1313/Variants/4/Core/2,0.5093613736039515,0.49262745599844493,0.5161299788546785,0.012006329820424759,0.003540337957929296,0.015631424254182142,Z3,v-->v,V1*V2,1322,3143,0.43001393608958216,2309,996,1313,4,2
Z3/v-->v/V1*V2*V3/Chc/1400/numPlain/3081/Compression/0.22435286784508815/VCore_Total/2326/VCorePlain/951/VCoreVar/1375/Variants/8/Core/2,1.1425966762288529,1.095829682002659,1.1583604698945842,0.03172826720914941,0.003540034193624822,0.03994495625906375,Z3,v-->v,V1*V2*V3,1400,3081,0.22435286784508815,2326,951,1375,8,2
Z3/v-->v/V1*V2*V3*V4/Chc/1478/numPlain/3011/Compression/0.11778550160073432/VCore_Total/2374/VCorePlain/929/VCoreVar/1445/Variants/16/Core/2,2.5062105552293965,2.4878467978778644,2.519846016748488,0.01954796657855538,0.014911194906066747,0.0229244606959643,Z3,v-->v,V1*V2*V3*V4,1478,3011,0.11778550160073432,2374,929,1445,16,2
Z3/v-->v/V1*V2*V3*V4*V5/Chc/2159/numPlain/2695/Compression/6.495518204814074e-2/VCore_Total/2382/VCorePlain/621/VCoreVar/1761/Variants/32/Core/2,6.431039642854103,6.416167538749505,6.4458860733134316,0.018851941840918488,0.0015660415349544078,0.023399352418856916,Z3,v-->v,V1*V2*V3*V4*V5,2159,2695,0.06495518204814074,2382,621,1761,32,2
Z3/v-->v/V1*V2*V3*V4*V5*V6/Chc/2827/numPlain/2152/Compression/3.38131445426035e-2/VCore_Total/2814/VCorePlain/510/VCoreVar/2304/Variants/64/Core/2,15.994214726311082,15.894743476495023,16.066005170625736,0.10600842851026596,0.06177950934398298,0.14893802588231778,Z3,v-->v,V1*V2*V3*V4*V5*V6,2827,2152,0.0338131445426035,2814,510,2304,64,2
